id,id_str,has_tweet_coordinates,default_profile_image,has_description,tweet_favourited_count,user_favourites_count,followers_count,followings_count,retweet_count,user_activity_count,verified,has_text_url,has_exclamation,has_first_noun_words,has_hash,has_mention,has_qmark,polarity_positive,polarity_negative,subjectivity_positive,subjectivity_negative
60,1.12E+18,0,FALSE,1,0,0,439,28,2,32400,FALSE,TRUE,0,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE,FALSE
61,1.12E+18,0,FALSE,1,0,0,49,164,0,6822,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
62,1.12E+18,0,FALSE,1,0,22,13,157,0,5775,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
63,1.12E+18,0,FALSE,1,1,8865,4602,4941,0,5163,FALSE,FALSE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
64,1.12E+18,0,FALSE,1,0,163,104,389,0,21206,FALSE,TRUE,3,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE
65,1.12E+18,0,FALSE,1,0,10,6801,3401,0,189556,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
66,1.12E+18,0,FALSE,1,0,23,359,345,0,15524,FALSE,TRUE,3,FALSE,TRUE,FALSE,3,TRUE,FALSE,TRUE,FALSE
67,1.12E+18,0,FALSE,1,0,1083,5239,3792,1,192512,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
68,1.12E+18,0,FALSE,1,2,22206,44697,12019,1,24648,TRUE,TRUE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
69,1.12E+18,0,FALSE,1,0,4309,3978,743,0,24738,FALSE,FALSE,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,FALSE
70,1.12E+18,0,FALSE,1,0,4739,463,710,0,60544,FALSE,TRUE,0,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE,FALSE
71,1.12E+18,0,FALSE,1,0,5931,344,180,0,16464,FALSE,FALSE,1,FALSE,TRUE,TRUE,0,FALSE,FALSE,FALSE,FALSE
72,1.12E+18,0,FALSE,1,0,3,3730,3773,0,4575,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,TRUE,FALSE,TRUE,FALSE
73,1.12E+18,0,FALSE,1,1,118,738,417,0,2490,FALSE,TRUE,0,FALSE,FALSE,FALSE,1,TRUE,FALSE,TRUE,FALSE
74,1.12E+18,0,FALSE,1,0,0,10,41,0,3922,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE
75,1.12E+18,0,FALSE,0,0,0,342,354,0,4593,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE
76,1.12E+18,0,FALSE,1,0,0,1958,0,0,323886,FALSE,TRUE,0,FALSE,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE
77,1.12E+18,0,FALSE,1,0,1112,287,1009,0,15599,FALSE,FALSE,0,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE,FALSE
78,1.12E+18,0,FALSE,1,8,29763,415,175,0,15846,FALSE,TRUE,3,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
79,1.12E+18,0,FALSE,1,0,7328,13229,3388,0,27464,FALSE,TRUE,0,FALSE,FALSE,FALSE,0,TRUE,FALSE,TRUE,FALSE
80,1.12E+18,0,FALSE,1,0,0,439,28,2,32400,FALSE,TRUE,0,FALSE,TRUE,FALSE,1,FALSE,TRUE,TRUE,FALSE
81,1.12E+18,0,FALSE,1,0,0,49,164,0,6822,FALSE,TRUE,0,FALSE,TRUE,FALSE,0,FALSE,FALSE,FALSE,FALSE
